,date,areaName,areaCode,newCasesByPublishDate,cumCasesByPublishDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,hospitalCases
0,2022-08-03,Exeter,E07000041,154.0,45365.0,,,
1,2022-08-02,Exeter,E07000041,0.0,45211.0,,,
2,2022-08-01,Exeter,E07000041,0.0,45211.0,0.0,202.0,
3,2022-07-31,Exeter,E07000041,0.0,45211.0,0.0,202.0,
4,2022-07-30,Exeter,E07000041,0.0,45211.0,0.0,202.0,
5,2022-07-29,Exeter,E07000041,0.0,45211.0,0.0,202.0,
6,2022-07-28,Exeter,E07000041,0.0,45211.0,0.0,202.0,
7,2022-07-27,Exeter,E07000041,210.0,45211.0,1.0,202.0,
8,2022-07-26,Exeter,E07000041,0.0,45001.0,0.0,201.0,
9,2022-07-25,Exeter,E07000041,0.0,45001.0,0.0,201.0,
10,2022-07-24,Exeter,E07000041,0.0,45001.0,1.0,201.0,
11,2022-07-23,Exeter,E07000041,0.0,45001.0,0.0,200.0,
12,2022-07-22,Exeter,E07000041,0.0,45001.0,0.0,200.0,
13,2022-07-21,Exeter,E07000041,0.0,45001.0,0.0,200.0,
14,2022-07-20,Exeter,E07000041,346.0,45001.0,0.0,200.0,
15,2022-07-19,Exeter,E07000041,0.0,44655.0,0.0,200.0,
16,2022-07-18,Exeter,E07000041,0.0,44655.0,0.0,200.0,
17,2022-07-17,Exeter,E07000041,0.0,44655.0,0.0,200.0,
18,2022-07-16,Exeter,E07000041,0.0,44655.0,0.0,200.0,
19,2022-07-15,Exeter,E07000041,0.0,44655.0,1.0,200.0,
20,2022-07-14,Exeter,E07000041,0.0,44655.0,1.0,199.0,
21,2022-07-13,Exeter,E07000041,494.0,44655.0,0.0,198.0,
22,2022-07-12,Exeter,E07000041,0.0,44161.0,0.0,198.0,
23,2022-07-11,Exeter,E07000041,0.0,44161.0,0.0,198.0,
24,2022-07-10,Exeter,E07000041,0.0,44161.0,0.0,198.0,
25,2022-07-09,Exeter,E07000041,0.0,44161.0,1.0,198.0,
26,2022-07-08,Exeter,E07000041,0.0,44161.0,0.0,197.0,
27,2022-07-07,Exeter,E07000041,0.0,44161.0,0.0,197.0,
28,2022-07-06,Exeter,E07000041,382.0,44161.0,1.0,197.0,
29,2022-07-05,Exeter,E07000041,0.0,43779.0,0.0,196.0,
30,2022-07-04,Exeter,E07000041,0.0,43779.0,1.0,196.0,
31,2022-07-03,Exeter,E07000041,0.0,43779.0,0.0,195.0,
32,2022-07-02,Exeter,E07000041,0.0,43779.0,0.0,195.0,
33,2022-07-01,Exeter,E07000041,61.0,43779.0,1.0,195.0,
34,2022-06-30,Exeter,E07000041,68.0,43718.0,0.0,194.0,
35,2022-06-29,Exeter,E07000041,86.0,43650.0,0.0,194.0,
36,2022-06-28,Exeter,E07000041,67.0,43564.0,0.0,194.0,
37,2022-06-27,Exeter,E07000041,117.0,43497.0,1.0,194.0,
38,2022-06-26,Exeter,E07000041,0.0,43380.0,0.0,193.0,
39,2022-06-25,Exeter,E07000041,0.0,43380.0,0.0,193.0,
40,2022-06-24,Exeter,E07000041,35.0,43380.0,0.0,193.0,
41,2022-06-23,Exeter,E07000041,45.0,43345.0,0.0,193.0,
42,2022-06-22,Exeter,E07000041,43.0,43300.0,0.0,193.0,
