,date,areaName,areaCode,newCasesByPublishDate,cumCasesByPublishDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,hospitalCases
0,2022-08-03,England,E92000001,57277,19699384,,,9817.0
1,2022-08-02,England,E92000001,0,19642180,,,10177.0
2,2022-08-01,England,E92000001,0,19642180,33.0,161560.0,10417.0
3,2022-07-31,England,E92000001,0,19642180,73.0,161527.0,10431.0
4,2022-07-30,England,E92000001,0,19642180,67.0,161454.0,10529.0
5,2022-07-29,England,E92000001,0,19642180,108.0,161387.0,11149.0
6,2022-07-28,England,E92000001,0,19642180,136.0,161279.0,11437.0
7,2022-07-27,England,E92000001,81951,19642180,119.0,161143.0,11914.0
8,2022-07-26,England,E92000001,0,19560297,127.0,161024.0,12113.0
9,2022-07-25,England,E92000001,0,19560297,133.0,160897.0,12529.0
10,2022-07-24,England,E92000001,0,19560297,166.0,160764.0,12591.0
11,2022-07-23,England,E92000001,0,19560297,141.0,160598.0,12475.0
12,2022-07-22,England,E92000001,0,19560297,137.0,160457.0,13182.0
13,2022-07-21,England,E92000001,0,19560297,145.0,160320.0,13375.0
14,2022-07-20,England,E92000001,123568,19560297,205.0,160175.0,13545.0
15,2022-07-19,England,E92000001,0,19436864,293.0,159970.0,13837.0
16,2022-07-18,England,E92000001,0,19436864,156.0,159677.0,14044.0
17,2022-07-17,England,E92000001,0,19436864,189.0,159521.0,13840.0
18,2022-07-16,England,E92000001,0,19436864,157.0,159332.0,13701.0
19,2022-07-15,England,E92000001,0,19436864,139.0,159175.0,13975.0
20,2022-07-14,England,E92000001,0,19436864,140.0,159036.0,13807.0
21,2022-07-13,England,E92000001,171877,19436864,157.0,158896.0,13741.0
22,2022-07-12,England,E92000001,0,19265078,158.0,158739.0,13621.0
23,2022-07-11,England,E92000001,0,19265078,149.0,158581.0,13336.0
24,2022-07-10,England,E92000001,0,19265078,150.0,158432.0,12879.0
25,2022-07-09,England,E92000001,0,19265078,144.0,158282.0,12440.0
26,2022-07-08,England,E92000001,0,19265078,131.0,158138.0,12283.0
27,2022-07-07,England,E92000001,0,19265078,118.0,158007.0,11878.0
28,2022-07-06,England,E92000001,120170,19265078,131.0,157889.0,11465.0
29,2022-07-05,England,E92000001,0,19144946,113.0,157758.0,11049.0
30,2022-07-04,England,E92000001,0,19144946,115.0,157645.0,10658.0
31,2022-07-03,England,E92000001,0,19144946,97.0,157530.0,9956.0
32,2022-07-02,England,E92000001,0,19144946,105.0,157433.0,9632.0
33,2022-07-01,England,E92000001,20731,19144946,92.0,157328.0,9389.0
34,2022-06-30,England,E92000001,21732,19124226,83.0,157236.0,8928.0
35,2022-06-29,England,E92000001,21428,19102513,85.0,157153.0,8587.0
36,2022-06-28,England,E92000001,21415,19081094,68.0,157068.0,8120.0
37,2022-06-27,England,E92000001,47332,19059682,73.0,157000.0,7822.0
38,2022-06-26,England,E92000001,0,19012379,66.0,156927.0,7455.0
39,2022-06-25,England,E92000001,0,19012379,71.0,156861.0,6973.0
40,2022-06-24,England,E92000001,16489,19012379,55.0,156790.0,6752.0
41,2022-06-23,England,E92000001,17481,18995906,71.0,156735.0,6401.0
42,2022-06-22,England,E92000001,17202,18978435,65.0,156664.0,6177.0
43,2022-06-21,England,E92000001,16432,18961236,56.0,156599.0,6002.0
44,2022-06-20,England,E92000001,36452,18944806,59.0,156543.0,5726.0
45,2022-06-19,England,E92000001,0,18908381,59.0,156484.0,5436.0
46,2022-06-18,England,E92000001,0,18908381,50.0,156425.0,5183.0
47,2022-06-17,England,E92000001,12065,18908381,51.0,156375.0,5037.0
48,2022-06-16,England,E92000001,12080,18896327,57.0,156324.0,5008.0
49,2022-06-15,England,E92000001,13401,18884257,46.0,156267.0,4843.0
50,2022-06-14,England,E92000001,12031,18870862,36.0,156221.0,4722.0
51,2022-06-13,England,E92000001,28249,18858834,37.0,156185.0,4602.0
52,2022-06-12,England,E92000001,0,18830603,31.0,156148.0,4408.0
53,2022-06-11,England,E92000001,0,18830603,43.0,156117.0,4257.0
54,2022-06-10,England,E92000001,9217,18830603,54.0,156074.0,4262.0
55,2022-06-09,England,E92000001,9741,18821397,36.0,156020.0,4082.0
56,2022-06-08,England,E92000001,9298,18811661,42.0,155984.0,4096.0
57,2022-06-07,England,E92000001,10240,18802365,39.0,155942.0,4108.0
58,2022-06-06,England,E92000001,29155,18792128,51.0,155903.0,4126.0
59,2022-06-05,England,E92000001,0,18762989,45.0,155852.0,3965.0
60,2022-06-04,England,E92000001,0,18762989,49.0,155807.0,3835.0
61,2022-06-03,England,E92000001,0,18762989,34.0,155758.0,3849.0
62,2022-06-02,England,E92000001,0,18762989,47.0,155724.0,3841.0
63,2022-06-01,England,E92000001,5313,18762989,39.0,155677.0,3800.0
64,2022-05-31,England,E92000001,5802,18757683,57.0,155638.0,4036.0
65,2022-05-30,England,E92000001,13590,18751882,59.0,155581.0,4091.0
66,2022-05-29,England,E92000001,0,18738306,37.0,155522.0,4018.0
67,2022-05-28,England,E92000001,0,18738306,52.0,155485.0,4013.0
68,2022-05-27,England,E92000001,4661,18738306,54.0,155433.0,4197.0
69,2022-05-26,England,E92000001,5293,18733650,62.0,155379.0,4365.0
70,2022-05-25,England,E92000001,5810,18728368,44.0,155317.0,4489.0
71,2022-05-24,England,E92000001,6352,18722566,46.0,155273.0,4639.0
72,2022-05-23,England,E92000001,14592,18716214,61.0,155227.0,5010.0
73,2022-05-22,England,E92000001,0,18701642,63.0,155166.0,5047.0
74,2022-05-21,England,E92000001,0,18701642,64.0,155103.0,5065.0
75,2022-05-20,England,E92000001,6003,18701642,65.0,155039.0,5187.0
76,2022-05-19,England,E92000001,6704,18695641,58.0,154974.0,5356.0
77,2022-05-18,England,E92000001,7388,18688946,57.0,154916.0,5425.0
78,2022-05-17,England,E92000001,8102,18681566,84.0,154859.0,5733.0
79,2022-05-16,England,E92000001,16903,18673471,67.0,154775.0,6024.0
80,2022-05-15,England,E92000001,0,18656568,84.0,154708.0,6158.0
81,2022-05-14,England,E92000001,0,18656568,82.0,154624.0,6147.0
82,2022-05-13,England,E92000001,6511,18656568,90.0,154542.0,6366.0
